2022-05-16 20:05:109 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (2efeb2e1f09f0675d75d29781d64e359)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:239 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (2efeb2e1f09f0675d75d29781d64e359)] -> xpath: //input[@id='email']]
2022-05-16 20:05:398 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (2efeb2e1f09f0675d75d29781d64e359)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:197 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (2efeb2e1f09f0675d75d29781d64e359)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:86 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:994 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (f8d84d8b3f917abf99fb480b997d865c)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:103 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (f8d84d8b3f917abf99fb480b997d865c)] -> xpath: //input[@id='email']]
2022-05-16 20:05:225 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (f8d84d8b3f917abf99fb480b997d865c)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:995 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (f8d84d8b3f917abf99fb480b997d865c)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:856 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:719 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:854 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //input[@id='email']]
2022-05-16 20:05:968 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:628 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:644 INFO  SignInPage :55 - verify sign Out Link [[ChromeDriver: chrome on WINDOWS (fec6d7ba0d4ddb7c755d5e792f648877)] -> xpath: //a[@title='Log me out']]
2022-05-16 20:05:529 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:421 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:593 INFO  SignInPage :92 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //input[@id='email']]
2022-05-16 20:05:782 INFO  SignInPage :97 - Sending text to Password Field : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //input[@id='passwd']]
2022-05-16 20:05:15 INFO  SignInPage :102 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:255 INFO  SignInPage :74 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //a[@title='Log me out']]
2022-05-16 20:05:289 INFO  SignInPage :67 - Getting link from signin Field : [[ChromeDriver: chrome on WINDOWS (1f6225f0b92f4558ec2822490596e863)] -> xpath: //span[normalize-space()='Sign in']]
2022-05-16 20:05:436 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:304 INFO  WomenCategoryPage :43 - Clicking on Women link : [[ChromeDriver: chrome on WINDOWS (c48580c8444cce591fc7866bdae7d194)] -> xpath: //a[@title='Women']]
2022-05-16 20:05:399 INFO  WomenCategoryPage :48 - Getting text from : [[ChromeDriver: chrome on WINDOWS (c48580c8444cce591fc7866bdae7d194)] -> xpath: //span[@class='category-name']]
2022-05-16 20:05:57 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:969 INFO  WomenCategoryPage :43 - Clicking on Women link : [[ChromeDriver: chrome on WINDOWS (73ecaacc801eb4b8705ae6cc61e3a29d)] -> xpath: //a[@title='Women']]
2022-05-16 20:05:403 INFO  ProductPage :84 - Sending quantity to Quantity Field : [[ChromeDriver: chrome on WINDOWS (73ecaacc801eb4b8705ae6cc61e3a29d)] -> xpath: //input[@id='quantity_wanted']]
2022-05-16 20:05:533 INFO  ProductPage :89 - Selecting text from State Field : [[ChromeDriver: chrome on WINDOWS (73ecaacc801eb4b8705ae6cc61e3a29d)] -> xpath: //select[@id='group_1']]
2022-05-16 20:05:751 INFO  ProductPage :94 - Clicking on Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (73ecaacc801eb4b8705ae6cc61e3a29d)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-16 20:05:771 INFO  ProductPage :98 - Getting message from alert : [[ChromeDriver: chrome on WINDOWS (73ecaacc801eb4b8705ae6cc61e3a29d)] -> xpath: //h2[normalize-space()='Product successfully added to your shopping cart']]
2022-05-16 20:05:466 INFO  ProductPage :104 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (73ecaacc801eb4b8705ae6cc61e3a29d)] -> xpath: //span[@title='Close window']]
2022-05-16 20:05:283 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:186 INFO  WomenCategoryPage :43 - Clicking on Women link : [[ChromeDriver: chrome on WINDOWS (423b0260e259f1a2e9712a2be3c710dc)] -> xpath: //a[@title='Women']]
2022-05-16 20:05:793 INFO  ProductPage :84 - Sending quantity to Quantity Field : [[ChromeDriver: chrome on WINDOWS (423b0260e259f1a2e9712a2be3c710dc)] -> xpath: //input[@id='quantity_wanted']]
2022-05-16 20:05:987 INFO  ProductPage :89 - Selecting text from State Field : [[ChromeDriver: chrome on WINDOWS (423b0260e259f1a2e9712a2be3c710dc)] -> xpath: //select[@id='group_1']]
2022-05-16 20:05:318 INFO  ProductPage :94 - Clicking on Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (423b0260e259f1a2e9712a2be3c710dc)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-16 20:05:354 INFO  ProductPage :98 - Getting message from alert : [[ChromeDriver: chrome on WINDOWS (423b0260e259f1a2e9712a2be3c710dc)] -> xpath: //h2[normalize-space()='Product successfully added to your shopping cart']]
2022-05-16 20:05:76 INFO  ProductPage :104 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (423b0260e259f1a2e9712a2be3c710dc)] -> xpath: //span[@title='Close window']]
2022-05-16 20:05:77 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:243 INFO  WomenCategoryPage :43 - Clicking on Women link : [[ChromeDriver: chrome on WINDOWS (5122496a67f534f17530043bc9262ca5)] -> xpath: //a[@title='Women']]
2022-05-16 20:05:702 INFO  ProductPage :84 - Sending quantity to Quantity Field : [[ChromeDriver: chrome on WINDOWS (5122496a67f534f17530043bc9262ca5)] -> xpath: //input[@id='quantity_wanted']]
2022-05-16 20:05:826 INFO  ProductPage :89 - Selecting text from State Field : [[ChromeDriver: chrome on WINDOWS (5122496a67f534f17530043bc9262ca5)] -> xpath: //select[@id='group_1']]
2022-05-16 20:05:119 INFO  ProductPage :94 - Clicking on Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (5122496a67f534f17530043bc9262ca5)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-16 20:05:175 INFO  ProductPage :98 - Getting message from alert : [[ChromeDriver: chrome on WINDOWS (5122496a67f534f17530043bc9262ca5)] -> xpath: //h2[normalize-space()='Product successfully added to your shopping cart']]
2022-05-16 20:05:854 INFO  ProductPage :104 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (5122496a67f534f17530043bc9262ca5)] -> xpath: //span[@title='Close window']]
2022-05-16 20:05:853 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:39 INFO  WomenCategoryPage :43 - Clicking on Women link : [[ChromeDriver: chrome on WINDOWS (7658c351a315434c9c269aacd49c6653)] -> xpath: //a[@title='Women']]
2022-05-16 20:05:440 INFO  ProductPage :84 - Sending quantity to Quantity Field : [[ChromeDriver: chrome on WINDOWS (7658c351a315434c9c269aacd49c6653)] -> xpath: //input[@id='quantity_wanted']]
2022-05-16 20:05:655 INFO  ProductPage :89 - Selecting text from State Field : [[ChromeDriver: chrome on WINDOWS (7658c351a315434c9c269aacd49c6653)] -> xpath: //select[@id='group_1']]
2022-05-16 20:05:52 INFO  ProductPage :94 - Clicking on Add to Cart Button : [[ChromeDriver: chrome on WINDOWS (7658c351a315434c9c269aacd49c6653)] -> xpath: //span[normalize-space()='Add to cart']]
2022-05-16 20:05:99 INFO  ProductPage :98 - Getting message from alert : [[ChromeDriver: chrome on WINDOWS (7658c351a315434c9c269aacd49c6653)] -> xpath: //h2[normalize-space()='Product successfully added to your shopping cart']]
2022-05-16 20:05:687 INFO  ProductPage :104 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (7658c351a315434c9c269aacd49c6653)] -> xpath: //span[@title='Close window']]
2022-05-16 20:05:676 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-16 20:05:785 INFO  HomePage :59 - Clicking on Signin link : [[ChromeDriver: chrome on WINDOWS (355e81b3584e4c406c7ffb93f41e332f)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-16 20:05:13 INFO  SignInPage :62 - Sending text to Email Field : [[ChromeDriver: chrome on WINDOWS (355e81b3584e4c406c7ffb93f41e332f)] -> xpath: //input[@id='email_create']]
2022-05-16 20:05:209 INFO  SignInPage :51 - Clicking on Create Account link : [[ChromeDriver: chrome on WINDOWS (355e81b3584e4c406c7ffb93f41e332f)] -> xpath: //span[normalize-space()='Create an account']]
2022-05-16 20:05:538 INFO  ManageDriver :29 - Launching Chrome Browser
